publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2028,Caso principal,1528.11
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2028,Caso principal,2528.15
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2028,Caso principal,1889.23
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2029,Caso acelerado,202.27
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2029,Caso acelerado,0.68
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2029,Caso acelerado,9.33
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2029,Caso acelerado,213.07
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2029,Caso acelerado,1756.03
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2029,Caso acelerado,19.7
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2029,Caso acelerado,1574.87
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2029,Caso acelerado,3153.22
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2029,Caso acelerado,2390.65
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2029,Caso principal,194.92
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2029,Caso principal,0.66
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2029,Caso principal,8.77
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2029,Caso principal,186.74
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2029,Caso principal,1641.73
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2029,Caso principal,18.55
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2029,Caso principal,1554.75
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2029,Caso principal,2886
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2029,Caso principal,2148.27
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2030,Caso acelerado,211.77
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2030,Caso acelerado,0.73
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2030,Caso acelerado,9.91
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2030,Caso acelerado,270.22
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2030,Caso acelerado,1934.46
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2030,Caso acelerado,22.24
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2030,Caso acelerado,1627.05
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2030,Caso acelerado,3596.38
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2030,Caso acelerado,2734.74
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2030,Caso principal,199.92
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2030,Caso principal,0.68
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2030,Caso principal,9.07
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2030,Caso principal,223.83
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2030,Caso principal,1779.57
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2030,Caso principal,19.99
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2030,Caso principal,1589.4
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2030,Caso principal,3276.16
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2030,Caso principal,2430.17
RENOVABLES2025,Mundo,Total,Capacidad,GW,2030,Meta,8355.385926
