publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2006,Caso principal,897.83
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2006,Caso principal,0.38
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2006,Caso principal,5.71
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2007,Caso principal,54.18
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2007,Caso principal,0.27
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2007,Caso principal,0.48
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2007,Caso principal,1.1
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2007,Caso principal,90.56
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2007,Caso principal,8.97
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2007,Caso principal,929.27
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2007,Caso principal,0.62
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2007,Caso principal,7.7
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2008,Caso principal,58.01
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2008,Caso principal,0.27
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2008,Caso principal,0.53
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2008,Caso principal,1.44
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2008,Caso principal,114.26
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2008,Caso principal,9.26
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2008,Caso principal,960.7
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2008,Caso principal,1.7
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2008,Caso principal,12.95
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2009,Caso principal,64.92
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2009,Caso principal,0.27
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2009,Caso principal,0.76
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2009,Caso principal,2.17
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2009,Caso principal,148.07
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2009,Caso principal,9.7
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2009,Caso principal,994.34
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2009,Caso principal,3.37
